time,"[BMS] Battery total current (A)","[BMS] Battery total voltage (V)","[VCU] Velocidade do veículo (km/h)","Aceleração (g)","Altitude (GPS) (m)","Consumo instantâneo de energia (distance/kWh) (km/kWh)","Consumo instantâneo de energia do EV (kWh/distance) (kWh/100km)","Custos de energia (R$)","Distância percorrida (km)","Distância percorrida (Hoje) (km)","Distância percorrida (Semana) (km)","Distância percorrida (total) (km)","Energia utilizada (kWh)","EV Instant Energy Consumption (kWh) (kWh)","Potência da bateria de alta tensão do veículo elétrico (hp)","Velocidade (GPS) (km/h)","Velocidade média (km/h)","Velocidade média (GPS) (km/h)","Voltagem do modulo OBD (V)",Latitude,Longtitude,
16:44:16.743,,297,,,,,,,,,,,,,,,,,,-22.51146156,-44.08502434,
16:44:16.827,,297,,,,,,,,,,,,,,,,,,-22.51146156,-44.08502434,
16:44:17.091,,297,,,,,,,,,,,,,,,,,,-22.51146156,-44.08502434,
16:44:17.210,,297,,,,,,,,,,,,,,,,,,-22.51146156,-44.08502434,
16:44:17.235,,297,,,,,,,,,,,,,,,,,,-22.51146156,-44.08502434,
16:44:17.307,,297,,,,,,,,,,,,,,,,,,-22.51146156,-44.08502434,
16:44:17.367,,297,,,,,,,,,,,,,,,,,,-22.51146156,-44.08502434,
16:44:17.427,,297,,,,,,,,,,,,,,,,,,-22.51146156,-44.08502434,
16:44:17.490,,297,,,,,,,,,,,,,,,,,,-22.51146156,-44.08502434,
16:44:17.515,,297,,,,,,,,,,,,,,,,,,-22.51146156,-44.08502434,
16:44:17.575,,297,,,,,,,,,,,,,,,,,,-22.51146156,-44.08502434,
16:44:17.648,,297,,,,,,,,,,,,,,,,,,-22.51146156,-44.08502434,
16:44:17.711,,297,,,,,,,,,,,,,,,,,,-22.51146156,-44.08502434,
16:44:17.771,,297,,,,,,,,,,,,,,,,,,-22.51146156,-44.08502434,
16:44:17.795,,297,,,,,,,,,,,,,,,,,,-22.51146156,-44.08502434,
16:44:17.916,,297,,,,,,,,,,,,,,,,,,-22.51146156,-44.08502434,
16:44:20.278,,,,,,,,,,,,,,,,,,,13.8,-22.51147813,-44.08503693,
16:44:20.391,,,0,,,,,,,,,,,,,,,,,-22.51147813,-44.08503693,
16:44:20.516,,297,,,,,,,,,,,,,,,,,,-22.51147813,-44.08503693,
16:44:20.648,,,,,,,,,,,,,,,,,,,13.8,-22.51147813,-44.08503693,
16:44:20.735,,,,,,,,,,,,,,,,0,,,,-22.51146261,-44.08502452,
16:44:20.758,,,0,-0,,,,,0,0,0,0.035128,,,,,0,,,-22.51146261,-44.08502452,
16:44:21.215,,297,,,,,,,,,,,,,,,,,,-22.51146261,-44.08502452,
16:44:21.399,,,,,,,,,,,,,,,,,,,13.8,-22.51146261,-44.08502452,
16:44:21.486,,,0,-0,,,,,0,0,0,0.035128,,,,,0,,,-22.51146261,-44.08502452,
16:44:21.694,,297,,,,,,,,,,,,,,,,,,-22.51146261,-44.08502452,
16:44:21.819,,,,,,,,,,,,,,,,,,,13.8,-22.51146261,-44.08502452,
16:44:21.882,,,0,-0,,,,,0,0,0,0.035128,,,,,0,,,-22.51146261,-44.08502452,
16:44:21.988,,,,,,,,,,,,,,,,0,,0,,-22.51146261,-44.08502452,
16:44:22.490,,297,,,,,,,,,,,,,,,,,,-22.51144341,-44.08496913,
16:44:22.592,,,,,,,,,,,,,,,,,,,13.8,-22.51144341,-44.08496913,
16:44:22.655,,,0,0,,,,,0,0,0,0.035128,,,,,0,,,-22.51144341,-44.08496913,
16:44:22.919,,297,,,,,,,,,,,,,,,,,,-22.51144341,-44.08496913,
16:44:23.042,,,,,,,,,,,,,,,,,,,13.8,-22.51144341,-44.08496913,
16:44:23.217,,,,,,,,,,,,,,,,0,,0,,-22.51144531,-44.08497365,
16:44:23.239,,,0,0,,,,,0,0,0,0.035128,,,,,0,,,-22.51144531,-44.08497365,
16:44:23.515,,297,,,,,,,,,,,,,,,,,,-22.51144531,-44.08497365,
16:44:23.593,,,,,,,,,,,,,,,,,,,13.8,-22.51144531,-44.08497365,
16:44:23.666,,,0,0,,,,,0,0,0,0.035128,,,,,0,,,-22.51144531,-44.08497365,
16:44:23.959,,297,,,,,,,,,,,,,0.8479960027124545,,,,,-22.51144531,-44.08497365,
16:44:24.067,,,,,,,,,,,,,,,,,,,13.8,-22.51144531,-44.08497365,
16:44:24.144,,,0,0,,,,,0,0,0,0.035128,,,,,0,,,-22.51144531,-44.08497365,
16:44:24.451,,,,,,,,,,,,,,,,0,,0,,-22.51144118,-44.08496186,
16:44:24.550,,297,,,,0,,0.0002718950652658363,,,,,0.00026920303491666963,0.00010248576030000113,0.8479960027124545,,,,,-22.51144118,-44.08496186,
16:44:24.773,,,,,,,,,,,,,,,,,,,13.8,-22.51144118,-44.08496186,
16:44:24.846,,,0,0,,,,,0,0,0,0.035128,,,,,0,,,-22.51144118,-44.08496186,
