time_ref,time_seconds,speed_kmh,rpm,acc_g,fuel_l_per_100km,pedal_sensor1_mV,pedal_sensor2_mV,throttle_abs_pct,throttle_rel_pct,throttle_cmd_pct,engine_power_ps,engine_torque_nm,delta_speed_kmh,n_sinais_base,target_pedal_pct,vehicle_group,vehicle_name
,0.0,0,844.5,0.8576411347195252,0.0,,,0.0,0.0,0.0,2.782101,23.784323,,,0.0,ICE,CSVLog_Combustao
,0.297,0,836.5,0.7688780815958178,0.0,,,12.54902,2.3529413,2.745098,2.7804546,23.99758,0.0,,14.90196,ICE,CSVLog_Combustao
,1.301,0,836.5,0.5772058000019162,0.0,,,12.54902,2.3529413,2.745098,2.7804546,23.99758,0.0,,14.90196,ICE,CSVLog_Combustao
,2.311,0,843.5,0.4560261016858875,0.0,,,12.54902,2.3529413,2.3529413,2.775516,23.756159,0.0,,14.90196,ICE,CSVLog_Combustao
,3.302,0,839.5,0.35748777839576157,0.0,,,12.54902,2.3529413,2.3529413,2.7771623,23.883509,0.0,,14.90196,ICE,CSVLog_Combustao
,4.298,0,836.0,0.2979879780666924,0.0,,,12.54902,2.3529413,2.3529413,2.7639925,23.869766,0.0,,14.90196,ICE,CSVLog_Combustao
,5.299,0,830.25,0.22753267019316423,0.0,,,12.54902,2.3529413,2.745098,2.752469,23.934874,0.0,,14.90196,ICE,CSVLog_Combustao
,6.311,0,839.25,0.19600261656971546,0.0,,,12.54902,2.3529413,2.745098,2.7335377,23.51534,0.0,,14.90196,ICE,CSVLog_Combustao
,7.313,0,839.25,0.14141337558961112,0.0,,,12.54902,2.3529413,2.745098,2.7631695,23.77025,0.0,,14.90196,ICE,CSVLog_Combustao
,8.307,0,847.25,0.2009922937021254,0.0,,,12.54902,2.3529413,2.3529413,2.7631695,23.545803,0.0,,14.90196,ICE,CSVLog_Combustao
,9.308,0,846.5,0.07799432221106006,0.0,,,12.54902,2.3529413,2.3529413,2.7705774,23.629847,0.0,,14.90196,ICE,CSVLog_Combustao
,10.298,0,835.5,0.07461138791103115,0.0,,,12.54902,2.3529413,2.3529413,2.7870395,24.083204,0.0,,14.90196,ICE,CSVLog_Combustao
,11.299,0,841.5,0.035238016975777976,0.0,,,12.54902,2.3529413,2.3529413,2.7508228,23.600765,0.0,,14.90196,ICE,CSVLog_Combustao
,12.314,0,846.5,0.1023968846779346,0.0,,,12.54902,1.9607843,2.3529413,2.7714005,23.636868,0.0,,14.90196,ICE,CSVLog_Combustao
,13.321,0,843.0,0.04747544615054367,0.0,,,12.54902,1.9607843,2.3529413,2.7870395,23.86894,0.0,,14.90196,ICE,CSVLog_Combustao
,14.307,0,842.0,0.05449359658258153,0.0,,,12.54902,2.3529413,2.745098,2.775516,23.798481,0.0,,14.90196,ICE,CSVLog_Combustao
,15.33,0,842.0,0.22725392330481564,0.0,,,12.54902,1.9607843,2.3529413,2.7714005,23.763191,0.0,,14.90196,ICE,CSVLog_Combustao
,16.317,0,842.25,0.05501599606097389,0.0,,,12.54902,2.3529413,2.745098,2.7722237,23.763195,0.0,,14.90196,ICE,CSVLog_Combustao
,17.3,0,835.5,0.10783148331524552,0.0,,,12.54902,2.3529413,2.745098,2.7730467,23.96229,0.0,,14.90196,ICE,CSVLog_Combustao
,18.312,0,840.0,0.0198184657963682,0.0,,,12.54902,2.3529413,2.745098,2.7508228,23.64291,0.0,,14.90196,ICE,CSVLog_Combustao
,19.296,0,833.5,0.022068932805655726,0.0,,,12.54902,2.3529413,2.3529413,2.7656388,23.95562,0.0,,14.90196,ICE,CSVLog_Combustao
,20.326,0,844.0,0.052661728224051386,0.0,,,12.54902,1.9607843,2.745098,2.744238,23.47453,0.0,,14.90196,ICE,CSVLog_Combustao
,21.297,0,839.5,0.040995805290925884,0.0,,,12.54902,2.3529413,2.745098,2.7788084,23.897667,0.0,,14.90196,ICE,CSVLog_Combustao
,22.314,0,836.0,0.020348453058109048,0.0,,,13.333333,2.745098,2.745098,2.879159,24.86434,0.0,,14.90196,ICE,CSVLog_Combustao
,23.453,0,842.0,0.027229697305794793,0.0,,,12.941176,2.3529413,2.745098,2.9818416,25.567604,0.0,,14.90196,ICE,CSVLog_Combustao
,24.309,0,846.5,0.04652776012849113,0.0,,,12.54902,2.3529413,2.745098,2.887733,24.62905,0.0,,14.90196,ICE,CSVLog_Combustao
,25.306,0,837.0,0.04442533346213785,0.0,,,12.941176,2.3529413,2.745098,2.903166,25.041712,0.0,,14.90196,ICE,CSVLog_Combustao
,26.31,0,833.25,0.08067385249034148,0.0,,,12.941176,2.3529413,2.745098,2.870585,24.87211,0.0,,14.90196,ICE,CSVLog_Combustao
,27.311,0,837.5,0.016115033911936024,0.0,,,12.941176,2.3529413,2.745098,2.8577237,24.635025,0.0,,14.90196,ICE,CSVLog_Combustao
,28.3,0,837.75,0.05699547954649426,0.0,,,12.941176,2.3529413,2.745098,2.8722997,24.753288,0.0,,14.90196,ICE,CSVLog_Combustao
,29.306,0,840.5,0.14624189193444662,0.0,,,12.941176,2.3529413,2.745098,2.8954496,24.87115,0.0,,14.90196,ICE,CSVLog_Combustao
,30.308,0,831.0,0.06640525174412198,0.0,,,12.941176,2.3529413,2.745098,2.8825884,25.043741,0.0,,14.90196,ICE,CSVLog_Combustao
,31.31,0,846.0,0.09887674637722024,0.0,,,12.941176,2.3529413,2.745098,2.8500073,24.321657,0.0,,14.90196,ICE,CSVLog_Combustao
,32.308,0,848.0,0.07809188278757696,0.0,,,12.941176,2.3529413,2.745098,2.9014513,24.702278,0.0,,14.90196,ICE,CSVLog_Combustao
,33.306,0,841.75,0.04294600442906865,0.0,,,12.54902,2.3529413,2.745098,2.9083107,24.944525,0.0,,14.90196,ICE,CSVLog_Combustao
,34.307,0,835.25,0.03754454974583448,0.0,,,12.941176,2.3529413,2.745098,2.8628683,24.745855,0.0,,14.90196,ICE,CSVLog_Combustao
,35.296,0,838.0,0.05567178721163482,0.0,,,12.941176,2.3529413,2.745098,2.864583,24.679422,0.0,,14.90196,ICE,CSVLog_Combustao
,36.419,0,846.5,0.24491866089594905,0.0,,,12.941176,2.3529413,2.745098,2.8740144,24.512047,0.0,,14.90196,ICE,CSVLog_Combustao
,37.308,0,839.5,0.044386812696037864,0.0,,,12.941176,2.3529413,2.745098,2.903166,24.967138,0.0,,14.90196,ICE,CSVLog_Combustao
,38.33,0,839.5,0.038104455975831904,0.0,,,12.941176,2.3529413,2.745098,2.8714423,24.694315,0.0,,14.90196,ICE,CSVLog_Combustao
,39.308,0,840.25,0.026054730273918598,0.0,,,12.54902,2.3529413,2.745098,2.879159,24.738575,0.0,,14.90196,ICE,CSVLog_Combustao
,40.3,0,839.25,0.04303248001816129,0.0,,,12.941176,2.3529413,2.745098,2.881731,24.79018,0.0,,14.90196,ICE,CSVLog_Combustao
,41.439,0,846.25,0.17055033583703255,0.0,,,12.941176,2.3529413,2.745098,2.8757293,24.533916,0.0,,14.90196,ICE,CSVLog_Combustao
,42.299,0,837.25,0.08880096039649031,0.0,,,12.941176,2.3529413,2.745098,2.9023087,25.02684,0.0,,14.90196,ICE,CSVLog_Combustao
,43.308,0,838.5,0.15193967618845372,0.0,,,12.54902,2.3529413,2.745098,2.8714423,24.723764,0.0,,14.90196,ICE,CSVLog_Combustao
,44.307,0,838.5,0.08798170708964982,0.0,,,12.54902,2.3529413,2.745098,2.8714423,24.723764,0.0,,14.90196,ICE,CSVLog_Combustao
,45.314,0,838.5,0.10422930702828503,0.0,,,12.54902,2.3529413,2.745098,2.8714423,24.723764,0.0,,14.90196,ICE,CSVLog_Combustao
,46.309,0,843.25,0.11093551571558788,0.0,,,12.941176,2.3529413,2.745098,2.8757293,24.6212,0.0,,14.90196,ICE,CSVLog_Combustao
,47.301,0,838.0,0.07161683329423632,0.0,,,12.941176,2.3529413,2.745098,2.89202,24.9158,0.0,,14.90196,ICE,CSVLog_Combustao
,48.31,0,838.0,0.08328409668232352,0.0,,,12.941176,2.3529413,2.745098,2.89202,24.9158,0.0,,14.90196,ICE,CSVLog_Combustao
,49.31,0,843.0,0.065254554291043,0.0,,,12.941176,2.3529413,2.745098,2.8740144,24.613817,0.0,,14.90196,ICE,CSVLog_Combustao
,50.308,0,845.0,0.35540602720775655,0.0,,,12.941176,2.3529413,2.745098,2.8911626,24.702072,0.0,,14.90196,ICE,CSVLog_Combustao
,51.311,0,845.0,0.11589741904313426,0.0,,,12.941176,2.3529413,2.745098,2.8911626,24.702072,0.0,,14.90196,ICE,CSVLog_Combustao
,52.312,0,845.75,0.2664424681574445,0.0,,,12.941176,2.3529413,2.745098,2.8980217,24.73872,0.0,,14.90196,ICE,CSVLog_Combustao
,53.311,0,835.5,0.16438126293028793,0.0,,,12.941176,2.3529413,2.745098,2.8917546,24.988062,0.0,,14.90196,ICE,CSVLog_Combustao
